ENS,Folio,Region,Comuna,Region,Comuna,Comuna_CENSO2017,CENSO2017,Comuna_CENSO,CENSO2017
2003,476,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,486,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,488,2,227,2ª Región,San Pedro de Atacama,San Pedro de Atacama,2203,SAN PEDRO DE ATACAMA,2203
2003,489,2,227,2ª Región,San Pedro de Atacama,San Pedro de Atacama,2203,SAN PEDRO DE ATACAMA,2203
2003,493,2,227,2ª Región,San Pedro de Atacama,San Pedro de Atacama,2203,SAN PEDRO DE ATACAMA,2203
2003,494,2,227,2ª Región,San Pedro de Atacama,San Pedro de Atacama,2203,SAN PEDRO DE ATACAMA,2203
2003,496,2,227,2ª Región,San Pedro de Atacama,San Pedro de Atacama,2203,SAN PEDRO DE ATACAMA,2203
2003,499,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,500,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,501,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,505,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,508,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,513,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,514,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,517,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,518,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,521,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,523,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,527,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
