REGION,PROVINCIA,COMUNA,DC,AREA,ZC_LOC,ID_ZONA_LOC,NVIV,NHOGAR,PERSONAN,P07,P08,P09,P10,P10COMUNA,P10PAIS,P11,P11COMUNA,P11PAIS,P12,P12COMUNA,P12PAIS,P12A_LLEGADA,P12A_TRAMO,P13,P14,P15,P15A,P16,P16A,P16A_OTRO,P17,P18,P19,P20,P21M,P21A,P10PAIS_GRUPO,P11PAIS_GRUPO,P12PAIS_GRUPO,ESCOLARIDAD,P16A_GRUPO,REGION_15R,PROVINCIA_15R,COMUNA_15R,P10COMUNA_15R,P11COMUNA_15R,P12COMUNA_15R
10,101,10102,1,2,8,12926,235,1,2,2,1,32,1,98,998,99,99,999,1,98,998,9998,98,1,8,5,1,2,98,98,1,Z,98,98,98,9998,998,999,998,8,98,10,101,10102,98,99,98
10,101,10102,1,2,8,12926,235,1,3,5,1,3,1,98,998,1,98,998,1,98,998,9998,98,1,0,1,2,2,98,98,98,98,98,98,98,9998,998,998,998,0,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,238,1,1,1,2,52,1,98,998,2,98,998,2,10101,998,9998,98,2,1,7,2,2,98,98,6,98,6,5,6,1993,998,998,998,9,98,10,101,10102,98,98,10101
10,101,10102,1,2,8,12926,238,1,2,12,1,9,1,98,998,2,98,998,2,10201,998,9998,98,1,3,5,2,2,98,98,98,98,98,98,98,9998,998,998,998,3,98,10,101,10102,98,98,10201
10,101,10102,1,2,8,12926,239,1,1,17,1,62,2,98,998,2,98,998,2,997,998,9998,98,2,7,5,2,2,98,98,1,A,98,98,98,9998,998,998,998,7,98,10,101,10102,98,98,997
10,101,10102,1,2,8,12926,239,1,2,17,1,54,2,98,998,2,98,998,1,98,998,9998,98,2,3,7,2,2,98,98,1,A,98,98,98,9998,998,998,998,11,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,239,1,3,17,1,38,2,98,998,2,98,998,1,98,998,9998,98,2,8,5,1,2,98,98,1,A,98,98,98,9998,998,998,998,8,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,239,1,4,17,1,41,2,98,998,2,98,998,1,98,998,9998,98,2,8,5,1,1,1,98,1,A,98,98,98,9998,998,998,998,8,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,239,1,5,17,1,29,3,10101,998,3,10101,998,2,11201,998,9998,98,2,4,8,2,2,98,98,1,A,98,98,98,9998,998,998,998,12,98,10,101,10102,10101,10101,11201
10,101,10102,1,2,8,12926,241,1,1,1,1,30,1,98,998,2,98,998,1,98,998,9998,98,2,8,5,1,2,98,98,1,A,98,98,98,9998,998,998,998,8,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,241,1,2,2,2,25,1,98,998,2,98,998,2,10101,998,9998,98,2,8,5,1,2,98,98,6,98,2,2,9,2011,998,998,998,8,98,10,101,10102,98,98,10101
10,101,10102,1,2,8,12926,241,1,3,5,2,5,1,98,998,2,98,998,99,99,999,9999,99,1,0,3,2,2,98,98,98,98,98,98,98,9998,998,998,999,0,98,10,101,10102,98,98,99
10,101,10102,1,2,8,12926,242,1,1,1,1,58,1,98,998,2,98,998,99,99,999,9999,99,1,8,5,1,2,98,98,1,A,98,98,98,9998,998,998,999,8,98,10,101,10102,98,98,99
10,101,10102,1,2,8,12926,242,1,2,3,2,24,1,98,998,99,99,999,1,98,998,9998,98,1,3,7,2,1,1,98,6,98,2,2,2,2016,998,999,998,11,1,10,101,10102,98,99,98
10,101,10102,1,2,8,12926,242,1,3,5,2,7,1,98,998,99,99,999,1,98,998,9998,98,1,0,3,1,2,98,98,98,98,98,98,98,9998,998,999,998,0,98,10,101,10102,98,99,98
10,101,10102,1,2,8,12926,242,1,4,5,1,1,1,98,998,1,98,998,1,98,998,9998,98,3,98,98,98,2,98,98,98,98,98,98,98,9998,998,998,998,0,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,243,1,1,1,1,55,1,98,998,2,98,998,1,98,998,9998,98,2,1,5,2,2,98,98,7,98,98,98,98,9998,998,998,998,1,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,243,1,2,7,1,67,1,98,998,2,98,998,1,98,998,9998,98,2,2,5,2,2,98,98,7,98,98,98,98,9998,998,998,998,2,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,244,1,1,1,2,39,1,98,998,2,98,998,1,98,998,9998,98,2,8,5,1,1,1,98,6,98,2,2,3,2007,998,998,998,8,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,244,1,2,5,1,10,1,98,998,2,98,998,1,98,998,9998,98,1,4,5,2,1,1,98,98,98,98,98,98,9998,998,998,998,4,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,245,1,1,1,1,27,1,98,998,99,99,999,1,98,998,9998,98,1,4,8,1,1,1,98,1,Z,98,98,98,9998,998,999,998,12,1,10,101,10102,98,99,98
10,101,10102,1,2,8,12926,245,1,2,5,1,4,1,98,998,1,98,998,1,98,998,9998,98,1,0,1,2,99,99,99,98,98,98,98,98,9998,998,998,998,0,99,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,247,1,1,1,2,47,1,98,998,2,98,998,99,99,999,9999,99,2,5,12,1,2,98,98,1,Z,99,99,99,9999,998,998,999,17,98,10,101,10102,98,98,99
